26-Jan-2021 12:36:22
Meas. Pulse Power provided by IQ-Mod and Small signal Gain Response
CW @ 8.5GHz and -20dBm

Time(Sec.)	 Gain(dB)            Pout(dBm)	
 2.84    2.970414e-01   -9.548646e-01
 2.85    2.874780e-01   -9.577872e-01
 2.86    2.778859e-01   -9.606141e-01
 2.87    2.682661e-01   -9.633449e-01
 2.88    2.586193e-01   -9.659793e-01
 2.89    2.489468e-01   -9.685172e-01
 2.9    2.392493e-01   -9.709582e-01
 2.91    2.295279e-01   -9.733021e-01
 2.92    2.197836e-01   -9.755486e-01
 2.93    2.100173e-01   -9.776977e-01
 2.94    2.002300e-01   -9.797489e-01
 2.95    1.904226e-01   -9.817022e-01
 2.96    1.805963e-01   -9.835573e-01
 2.97    1.707518e-01   -9.853141e-01
 2.98    1.608903e-01   -9.869723e-01
 2.99    1.510127e-01   -9.885318e-01
 3    1.411200e-01   -9.899925e-01
 3.01    1.312132e-01   -9.913542e-01
 3.02    1.212933e-01   -9.926167e-01
 3.03    1.113612e-01   -9.937800e-01
 3.04    1.014180e-01   -9.948439e-01
 3.05    9.146464e-02   -9.958083e-01
 3.06    8.150215e-02   -9.966732e-01
 3.07    7.153151e-02   -9.974383e-01
 3.08    6.155372e-02   -9.981038e-01
 3.09    5.156977e-02   -9.986694e-01
 3.1    4.158066e-02   -9.991352e-01
 3.11    3.158740e-02   -9.995010e-01
 3.12    2.159098e-02   -9.997669e-01
 3.13    1.159239e-02   -9.999328e-01
 3.14    1.592653e-03   -9.999987e-01
 3.15   -8.407247e-03   -9.999647e-01
 3.16   -1.840631e-02   -9.998306e-01
 3.17   -2.840353e-02   -9.995965e-01
 3.18   -3.839790e-02   -9.992625e-01
 3.19   -4.838844e-02   -9.988286e-01
 3.2   -5.837414e-02   -9.982948e-01
 3.21   -6.835401e-02   -9.976611e-01
 3.22   -7.832703e-02   -9.969277e-01
 3.23   -8.829223e-02   -9.960946e-01
 3.24   -9.824859e-02   -9.951619e-01
 3.25   -1.081951e-01   -9.941297e-01
 3.26   -1.181309e-01   -9.929980e-01
 3.27   -1.280548e-01   -9.917671e-01
 3.28   -1.379659e-01   -9.904370e-01
 3.29   -1.478632e-01   -9.890078e-01
 3.3   -1.577457e-01   -9.874798e-01
 3.31   -1.676124e-01   -9.858530e-01
 3.32   -1.774624e-01   -9.841276e-01
 3.33   -1.872947e-01   -9.823038e-01
 3.34   -1.971082e-01   -9.803817e-01
 3.35   -2.069020e-01   -9.783617e-01
 3.36   -2.166751e-01   -9.762438e-01
 3.37   -2.264265e-01   -9.740282e-01
 3.38   -2.361553e-01   -9.717153e-01
 3.39   -2.458605e-01   -9.693052e-01
 3.4   -2.555411e-01   -9.667982e-01
 3.41   -2.651961e-01   -9.641945e-01
 3.42   -2.748247e-01   -9.614944e-01
 3.43   -2.844257e-01   -9.586981e-01
 3.44   -2.939983e-01   -9.558059e-01
 3.45   -3.035415e-01   -9.528182e-01
 3.46   -3.130544e-01   -9.497352e-01
 3.47   -3.225359e-01   -9.465572e-01
 3.48   -3.319852e-01   -9.432846e-01
 3.49   -3.414013e-01   -9.399176e-01
 3.5   -3.507832e-01   -9.364567e-01
 3.51   -3.601301e-01   -9.329021e-01
 3.52   -3.694410e-01   -9.292542e-01
 3.53   -3.787149e-01   -9.255134e-01
 3.54   -3.879509e-01   -9.216800e-01
 3.55   -3.971482e-01   -9.177545e-01
 3.56   -4.063057e-01   -9.137372e-01
 3.57   -4.154226e-01   -9.096285e-01
 3.58   -4.244980e-01   -9.054289e-01
 3.59   -4.335309e-01   -9.011387e-01
 3.6   -4.425204e-01   -8.967584e-01
 3.61   -4.514658e-01   -8.922884e-01
 3.62   -4.603659e-01   -8.877293e-01
 3.63   -4.692200e-01   -8.830813e-01
 3.64   -4.780272e-01   -8.783450e-01
 3.65   -4.867866e-01   -8.735209e-01
 3.66   -4.954974e-01   -8.686094e-01
 3.67   -5.041585e-01   -8.636111e-01
 3.68   -5.127693e-01   -8.585264e-01
 3.69   -5.213288e-01   -8.533559e-01
 3.7   -5.298361e-01   -8.481000e-01
 3.71   -5.382905e-01   -8.427594e-01
 3.72   -5.466910e-01   -8.373344e-01
 3.73   -5.550369e-01   -8.318257e-01
 3.74   -5.633273e-01   -8.262338e-01
 3.75   -5.715613e-01   -8.205594e-01
 3.76   -5.797382e-01   -8.148028e-01
 3.77   -5.878571e-01   -8.089648e-01
 3.78   -5.959172e-01   -8.030459e-01
 3.79   -6.039178e-01   -7.970466e-01
 3.8   -6.118579e-01   -7.909677e-01
 3.81   -6.197368e-01   -7.848097e-01
 3.82   -6.275538e-01   -7.785732e-01
 3.83   -6.353080e-01   -7.722588e-01
 3.84   -6.429987e-01   -7.658672e-01
 3.85   -6.506251e-01   -7.593991e-01
 3.86   -6.581865e-01   -7.528549e-01
 3.87   -6.656820e-01   -7.462355e-01
 3.88   -6.731109e-01   -7.395415e-01
 3.89   -6.804726e-01   -7.327736e-01
 3.9   -6.877662e-01   -7.259323e-01
 3.91   -6.949910e-01   -7.190185e-01
 3.92   -7.021463e-01   -7.120327e-01
 3.93   -7.092314e-01   -7.049758e-01
 3.94   -7.162456e-01   -6.978483e-01
 3.95   -7.231881e-01   -6.906511e-01
 3.96   -7.300584e-01   -6.833848e-01
 3.97   -7.368556e-01   -6.760502e-01
 3.98   -7.435791e-01   -6.686479e-01
 3.99   -7.502283e-01   -6.611788e-01
 4   -7.568025e-01   -6.536436e-01
 4.01   -7.633010e-01   -6.460430e-01
 4.02   -7.697231e-01   -6.383779e-01
 4.03   -7.760683e-01   -6.306488e-01
 4.04   -7.823359e-01   -6.228567e-01
 4.05   -7.885253e-01   -6.150024e-01
 4.06   -7.946357e-01   -6.070865e-01
 4.07   -8.006668e-01   -5.991099e-01
 4.08   -8.066177e-01   -5.910734e-01
 4.09   -8.124881e-01   -5.829778e-01
 4.1   -8.182771e-01   -5.748239e-01
 4.11   -8.239843e-01   -5.666126e-01
 4.12   -8.296092e-01   -5.583445e-01
 4.13   -8.351510e-01   -5.500207e-01
 4.14   -8.406094e-01   -5.416418e-01
 4.15   -8.459837e-01   -5.332088e-01
 4.16   -8.512734e-01   -5.247224e-01
 4.17   -8.564780e-01   -5.161836e-01
 4.18   -8.615969e-01   -5.075931e-01
 4.19   -8.666297e-01   -4.989519e-01
 4.2   -8.715758e-01   -4.902608e-01
 4.21   -8.764347e-01   -4.815207e-01
 4.22   -8.812060e-01   -4.727324e-01
 4.23   -8.858892e-01   -4.638969e-01
 4.24   -8.904838e-01   -4.550149e-01
 4.25   -8.949894e-01   -4.460875e-01
 4.26   -8.994054e-01   -4.371154e-01
 4.27   -9.037315e-01   -4.280997e-01
 4.28   -9.079673e-01   -4.190411e-01
 4.29   -9.121122e-01   -4.099406e-01
 4.3   -9.161659e-01   -4.007992e-01
 4.31   -9.201281e-01   -3.916176e-01
 4.32   -9.239982e-01   -3.823969e-01
 4.33   -9.277759e-01   -3.731380e-01
 4.34   -9.314608e-01   -3.638417e-01
 4.35   -9.350526e-01   -3.545091e-01
 4.36   -9.385509e-01   -3.451410e-01
 4.37   -9.419553e-01   -3.357384e-01
 4.38   -9.452655e-01   -3.263022e-01
 4.39   -9.484812e-01   -3.168334e-01
 4.4   -9.516021e-01   -3.073329e-01
 4.41   -9.546278e-01   -2.978016e-01
 4.42   -9.575580e-01   -2.882406e-01
 4.43   -9.603925e-01   -2.786508e-01
 4.44   -9.631309e-01   -2.690331e-01
 4.45   -9.657731e-01   -2.593885e-01
 4.46   -9.683186e-01   -2.497180e-01
 4.47   -9.707673e-01   -2.400225e-01
 4.48   -9.731190e-01   -2.303029e-01
 4.49   -9.753733e-01   -2.205604e-01
 4.5   -9.775301e-01   -2.107958e-01
 4.51   -9.795892e-01   -2.010101e-01
 4.52   -9.815503e-01   -1.912043e-01
 4.53   -9.834132e-01   -1.813794e-01
 4.54   -9.851778e-01   -1.715364e-01
 4.55   -9.868439e-01   -1.616762e-01
 4.56   -9.884113e-01   -1.517999e-01
 4.57   -9.898798e-01   -1.419083e-01
 4.58   -9.912494e-01   -1.320026e-01
 4.59   -9.925198e-01   -1.220837e-01
 4.6   -9.936910e-01   -1.121525e-01
 4.61   -9.947628e-01   -1.022102e-01
 4.62   -9.957352e-01   -9.225760e-02
 4.63   -9.966079e-01   -8.229580e-02
 4.64   -9.973811e-01   -7.232578e-02
 4.65   -9.980544e-01   -6.234851e-02
 4.66   -9.986280e-01   -5.236502e-02
 4.67   -9.991017e-01   -4.237629e-02
 4.68   -9.994755e-01   -3.238332e-02
 4.69   -9.997494e-01   -2.238711e-02
 4.7   -9.999233e-01   -1.238866e-02
 4.71   -9.999971e-01   -2.388978e-03
 4.72   -9.999710e-01    7.610946e-03
 4.73   -9.998449e-01    1.761011e-02
 4.74   -9.996188e-01    2.760751e-02
 4.75   -9.992928e-01    3.760215e-02
 4.76   -9.988668e-01    4.759303e-02
 4.77   -9.983409e-01    5.757916e-02
 4.78   -9.977152e-01    6.755952e-02
 4.79   -9.969898e-01    7.753313e-02
 4.8   -9.961646e-01    8.749898e-02
 4.81   -9.952398e-01    9.745609e-02
 4.82   -9.942155e-01    1.074034e-01
 4.83   -9.930918e-01    1.173401e-01
 4.84   -9.918688e-01    1.272650e-01
 4.85   -9.905465e-01    1.371771e-01
 4.86   -9.891253e-01    1.470756e-01
 4.87   -9.876051e-01    1.569593e-01
 4.88   -9.859861e-01    1.668273e-01
 4.89   -9.842686e-01    1.766787e-01
 4.9   -9.824526e-01    1.865124e-01
 4.91   -9.805384e-01    1.963274e-01
 4.92   -9.785261e-01    2.061228e-01
 4.93   -9.764160e-01    2.158976e-01
 4.94   -9.742082e-01    2.256508e-01
 4.95   -9.719031e-01    2.353814e-01
 4.96   -9.695007e-01    2.450885e-01
 4.97   -9.670014e-01    2.547711e-01
 4.98   -9.644054e-01    2.644282e-01
 4.99   -9.617129e-01    2.740589e-01
 5   -9.589243e-01    2.836622e-01
 5.01   -9.560398e-01    2.932371e-01
 5.02   -9.530596e-01    3.027827e-01
 5.03   -9.499842e-01    3.122980e-01
 5.04   -9.468138e-01    3.217820e-01
 5.05   -9.435487e-01    3.312339e-01
 5.06   -9.401892e-01    3.406527e-01
 5.07   -9.367357e-01    3.500374e-01
 5.08   -9.331886e-01    3.593871e-01
 5.09   -9.295481e-01    3.687009e-01
 5.1   -9.258147e-01    3.779777e-01
 5.11   -9.219887e-01    3.872168e-01
 5.12   -9.180705e-01    3.964172e-01
 5.13   -9.140605e-01    4.055779e-01
 5.14   -9.099591e-01    4.146981e-01
 5.15   -9.057666e-01    4.237768e-01
 5.16   -9.014837e-01    4.328131e-01
 5.17   -8.971105e-01    4.418062e-01
 5.18   -8.926477e-01    4.507551e-01
 5.19   -8.880956e-01    4.596588e-01
 5.2   -8.834547e-01    4.685167e-01
 5.21   -8.787254e-01    4.773276e-01
 5.22   -8.739083e-01    4.860909e-01
 5.23   -8.690037e-01    4.948055e-01
 5.24   -8.640123e-01    5.034707e-01
 5.25   -8.589345e-01    5.120855e-01
 5.26   -8.537708e-01    5.206491e-01
 5.27   -8.485217e-01    5.291606e-01
 5.28   -8.431877e-01    5.376192e-01
 5.29   -8.377695e-01    5.460241e-01
 5.3   -8.322674e-01    5.543743e-01
 5.31   -8.266822e-01    5.626692e-01
 5.32   -8.210142e-01    5.709077e-01
 5.33   -8.152642e-01    5.790892e-01
 5.34   -8.094327e-01    5.872127e-01
 5.35   -8.035202e-01    5.952775e-01
 5.36   -7.975273e-01    6.032829e-01
 5.37   -7.914547e-01    6.112278e-01
 5.38   -7.853030e-01    6.191117e-01
 5.39   -7.790727e-01    6.269336e-01
 5.4   -7.727645e-01    6.346929e-01
 5.41   -7.663790e-01    6.423887e-01
 5.42   -7.599169e-01    6.500202e-01
 5.43   -7.533788e-01    6.575867e-01
 5.44   -7.467654e-01    6.650875e-01
 5.45   -7.400773e-01    6.725218e-01
 5.46   -7.333152e-01    6.798888e-01
 5.47   -7.264798e-01    6.871879e-01
 5.48   -7.195717e-01    6.944182e-01
 5.49   -7.125916e-01    7.015791e-01
 5.5   -7.055403e-01    7.086698e-01
 5.51   -6.984185e-01    7.156896e-01
 5.52   -6.912268e-01    7.226379e-01
 5.53   -6.839660e-01    7.295139e-01
 5.54   -6.766367e-01    7.363170e-01
 5.55   -6.692399e-01    7.430464e-01
 5.56   -6.617761e-01    7.497016e-01
 5.57   -6.542461e-01    7.562817e-01
 5.58   -6.466507e-01    7.627863e-01
 5.59   -6.389906e-01    7.692145e-01
 5.6   -6.312666e-01    7.755659e-01
 5.61   -6.234795e-01    7.818397e-01
 5.62   -6.156301e-01    7.880353e-01
 5.63   -6.077191e-01    7.941521e-01
 5.64   -5.997473e-01    8.001894e-01
 5.65   -5.917156e-01    8.061468e-01
 5.66   -5.836247e-01    8.120236e-01
 5.67   -5.754754e-01    8.178191e-01
 5.68   -5.672686e-01    8.235329e-01
 5.69   -5.590050e-01    8.291643e-01
 5.7   -5.506855e-01    8.347128e-01
 5.71   -5.423110e-01    8.401778e-01
 5.72   -5.338823e-01    8.455588e-01
 5.73   -5.254001e-01    8.508553e-01
 5.74   -5.168654e-01    8.560667e-01
 5.75   -5.082791e-01    8.611924e-01
 5.76   -4.996419e-01    8.662321e-01
 5.77   -4.909547e-01    8.711851e-01
 5.78   -4.822185e-01    8.760510e-01
 5.79   -4.734340e-01    8.808293e-01
 5.8   -4.646022e-01    8.855195e-01
 5.81   -4.557239e-01    8.901212e-01
 5.82   -4.468001e-01    8.946338e-01
 5.83   -4.378315e-01    8.990570e-01
 5.84   -4.288192e-01    9.033903e-01
 5.85   -4.197640e-01    9.076333e-01
 5.86   -4.106668e-01    9.117855e-01
 5.87   -4.015286e-01    9.158465e-01
 5.88   -3.923502e-01    9.198159e-01
 5.89   -3.831326e-01    9.236934e-01
 5.9   -3.738767e-01    9.274784e-01
 5.91   -3.645833e-01    9.311708e-01
 5.92   -3.552536e-01    9.347700e-01
 5.93   -3.458883e-01    9.382757e-01
 5.94   -3.364884e-01    9.416876e-01
 5.95   -3.270548e-01    9.450054e-01
 5.96   -3.175886e-01    9.482286e-01
 5.97   -3.080906e-01    9.513570e-01
 5.98   -2.985617e-01    9.543903e-01
 5.99   -2.890031e-01    9.573282e-01
 6   -2.794155e-01    9.601703e-01
 6.01   -2.698000e-01    9.629164e-01
 6.02   -2.601575e-01    9.655662e-01
 6.03   -2.504890e-01    9.681195e-01
 6.04   -2.407954e-01    9.705759e-01
 6.05   -2.310778e-01    9.729353e-01
 6.06   -2.213370e-01    9.751974e-01
 6.07   -2.115742e-01    9.773619e-01
 6.08   -2.017901e-01    9.794288e-01
 6.09   -1.919859e-01    9.813977e-01
 6.1   -1.821625e-01    9.832684e-01
 6.11   -1.723209e-01    9.850409e-01
 6.12   -1.624620e-01    9.867148e-01
 6.13   -1.525869e-01    9.882901e-01
 6.14   -1.426965e-01    9.897665e-01
 6.15   -1.327919e-01    9.911439e-01
 6.16   -1.228740e-01    9.924223e-01
 6.17   -1.129438e-01    9.936014e-01
 6.18   -1.030023e-01    9.946811e-01
 6.19   -9.305050e-02    9.956614e-01
 6.2   -8.308940e-02    9.965421e-01
 6.21   -7.311999e-02    9.973232e-01
 6.22   -6.314327e-02    9.980045e-01
 6.23   -5.316024e-02    9.985860e-01
 6.24   -4.317189e-02    9.990677e-01
 6.25   -3.317922e-02    9.994494e-01
 6.26   -2.318323e-02    9.997312e-01
 6.27   -1.318493e-02    9.999131e-01
 6.28   -3.185302e-03    9.999949e-01
 6.29    6.814640e-03    9.999768e-01
 6.3    1.681390e-02    9.998586e-01
 6.31    2.681148e-02    9.996405e-01
 6.32    3.680638e-02    9.993224e-01
 6.33    4.679759e-02    9.989044e-01
 6.34    5.678413e-02    9.983865e-01
 6.35    6.676499e-02    9.977687e-01
 6.36    7.673917e-02    9.970512e-01
 6.37    8.670568e-02    9.962340e-01
 6.38    9.666352e-02    9.953171e-01
 6.39    1.066117e-01    9.943007e-01
 6.4    1.165492e-01    9.931849e-01
 6.41    1.264751e-01    9.919698e-01
 6.42    1.363883e-01    9.906555e-01
 6.43    1.462878e-01    9.892421e-01
 6.44    1.561728e-01    9.877298e-01
 6.45    1.660421e-01    9.861187e-01
 6.46    1.758948e-01    9.844090e-01
 6.47    1.857300e-01    9.826008e-01
 6.48    1.955465e-01    9.806944e-01
 6.49    2.053435e-01    9.786900e-01
 6.5    2.151200e-01    9.765876e-01
 6.51    2.248749e-01    9.743876e-01
 6.52    2.346074e-01    9.720902e-01
 6.53    2.443164e-01    9.696956e-01
 6.54    2.540010e-01    9.672040e-01
 6.55    2.636602e-01    9.646156e-01
 6.56    2.732930e-01    9.619308e-01
 6.57    2.828985e-01    9.591499e-01
 6.58    2.924757e-01    9.562730e-01
 6.59    3.020236e-01    9.533004e-01
 6.6    3.115414e-01    9.502326e-01
 6.61    3.210280e-01    9.470697e-01
 6.62    3.304824e-01    9.438121e-01
 6.63    3.399039e-01    9.404602e-01
 6.64    3.492913e-01    9.370142e-01
 6.65    3.586439e-01    9.334745e-01
 6.66    3.679605e-01    9.298414e-01
 6.67    3.772404e-01    9.261154e-01
 6.68    3.864825e-01    9.222967e-01
 6.69    3.956860e-01    9.183859e-01
 6.7    4.048499e-01    9.143831e-01
 6.71    4.139734e-01    9.102890e-01
 6.72    4.230554e-01    9.061038e-01
 6.73    4.320951e-01    9.018280e-01
 6.74    4.410917e-01    8.974621e-01
 6.75    4.500441e-01    8.930063e-01
 6.76    4.589515e-01    8.884613e-01
 6.77    4.678130e-01    8.838275e-01
 6.78    4.766277e-01    8.791052e-01
 6.79    4.853948e-01    8.742951e-01
 6.8    4.941134e-01    8.693975e-01
 6.81    5.027825e-01    8.644130e-01
 6.82    5.114013e-01    8.593420e-01
 6.83    5.199690e-01    8.541851e-01
 6.84    5.284847e-01    8.489428e-01
 6.85    5.369476e-01    8.436156e-01
 6.86    5.453568e-01    8.382040e-01
 6.87    5.537114e-01    8.327086e-01
 6.88    5.620107e-01    8.271300e-01
 6.89    5.702537e-01    8.214686e-01
 6.9    5.784398e-01    8.157251e-01
 6.91    5.865680e-01    8.099000e-01
 6.92    5.946375e-01    8.039939e-01
 6.93    6.026476e-01    7.980075e-01
 6.94    6.105974e-01    7.919412e-01
 6.95    6.184861e-01    7.857957e-01
 6.96    6.263130e-01    7.795717e-01
 6.97    6.340773e-01    7.732697e-01
 6.98    6.417782e-01    7.668903e-01
 6.99    6.494149e-01    7.604343e-01
 7    6.569866e-01    7.539023e-01
 7.01    6.644926e-01    7.472948e-01
 7.02    6.719322e-01    7.406126e-01
 7.03    6.793047e-01    7.338564e-01
 7.04    6.866091e-01    7.270268e-01
 7.05    6.938449e-01    7.201244e-01
 7.06    7.010114e-01    7.131501e-01
 7.07    7.081077e-01    7.061044e-01
 7.08    7.151332e-01    6.989882e-01
 7.09    7.220872e-01    6.918020e-01
 7.1    7.289690e-01    6.845467e-01
 7.11    7.357779e-01    6.772229e-01
 7.12    7.425133e-01    6.698314e-01
 7.13    7.491743e-01    6.623729e-01
 7.14    7.557605e-01    6.548481e-01
 7.15    7.622711e-01    6.472579e-01
 7.16    7.687055e-01    6.396029e-01
 7.17    7.750629e-01    6.318840e-01
 7.18    7.813429e-01    6.241019e-01
 7.19    7.875448e-01    6.162574e-01
 7.2    7.936679e-01    6.083513e-01
 7.21    7.997116e-01    6.003844e-01
 7.22    8.056754e-01    5.923573e-01
 7.23    8.115585e-01    5.842711e-01
 7.24    8.173606e-01    5.761264e-01
 7.25    8.230809e-01    5.679242e-01
 7.26    8.287189e-01    5.596651e-01
 7.27    8.342740e-01    5.513501e-01
