17 September 2020 
TITLE  INFO  !!!!! 
 
     x    yyy   CCCC         DDDD
  0.80   0.72    0.70   -0.11391746
  0.81   0.72    0.69   -0.12384650
  0.82   0.73    0.68   -0.13376315
  0.83   0.74    0.67   -0.14366643
  0.84   0.74    0.67   -0.15355535
  0.85   0.75    0.66   -0.16342890
  0.86   0.76    0.65   -0.17328612
  0.87   0.76    0.64   -0.18312601
  0.88   0.77    0.64   -0.19294758
  0.89   0.78    0.63   -0.20274986
  0.90   0.78    0.62   -0.21253187
  0.91   0.79    0.61   -0.22229262
  0.92   0.80    0.61   -0.23203114
  0.93   0.80    0.60   -0.24174646
  0.94   0.81    0.59   -0.25143761
  0.95   0.81    0.58   -0.26110361
  0.96   0.82    0.57   -0.27074350
  0.97   0.82    0.57   -0.28035632
  0.98   0.83    0.56   -0.28994110
  0.99   0.84    0.55   -0.29949689
  1.00   0.84    0.54   -0.30902273
  1.01   0.85    0.53   -0.31851767
  1.02   0.85    0.52   -0.32798075
  1.03   0.86    0.51   -0.33741104
  1.04   0.86    0.51   -0.34680759
  1.05   0.87    0.50   -0.35616945
  1.06   0.87    0.49   -0.36549570
  1.07   0.88    0.48   -0.37478540
  1.08   0.88    0.47   -0.38403762
  1.09   0.89    0.46   -0.39325144
  1.10   0.89    0.45   -0.40242594
  1.11   0.90    0.44   -0.41156019
  1.12   0.90    0.44   -0.42065328
  1.13   0.90    0.43   -0.42970432
  1.14   0.91    0.42   -0.43871238
  1.15   0.91    0.41   -0.44767657
  1.16   0.92    0.40   -0.45659599
  1.17   0.92    0.39   -0.46546975
  1.18   0.92    0.38   -0.47429697
  1.19   0.93    0.37   -0.48307676
  1.20   0.93    0.36   -0.49180824
  1.21   0.94    0.35   -0.50049054
  1.22   0.94    0.34   -0.50912279
  1.23   0.94    0.33   -0.51770413
  1.24   0.95    0.32   -0.52623370
  1.25   0.95    0.32   -0.53471065
  1.26   0.95    0.31   -0.54313412
  1.27   0.96    0.30   -0.55150329
  1.28   0.96    0.29   -0.55981730
  1.29   0.96    0.28   -0.56807533
  1.30   0.96    0.27   -0.57627656
  1.31   0.97    0.26   -0.58442015
  1.32   0.97    0.25   -0.59250531
  1.33   0.97    0.24   -0.60053122
  1.34   0.97    0.23   -0.60849707
  1.35   0.98    0.22   -0.61640207
  1.36   0.98    0.21   -0.62424544
  1.37   0.98    0.20   -0.63202638
  1.38   0.98    0.19   -0.63974412
  1.39   0.98    0.18   -0.64739788
  1.40   0.99    0.17   -0.65498691
  1.41   0.99    0.16   -0.66251043
  1.42   0.99    0.15   -0.66996771
  1.43   0.99    0.14   -0.67735799
  1.44   0.99    0.13   -0.68468054
  1.45   0.99    0.12   -0.69193462
  1.46   0.99    0.11   -0.69911950
  1.47   0.99    0.10   -0.70623447
  1.48   1.00    0.09   -0.71327882
  1.49   1.00    0.08   -0.72025185
  1.50   1.00    0.07   -0.72715285
  1.51   1.00    0.06   -0.73398113
  1.52   1.00    0.05   -0.74073602
  1.53   1.00    0.04   -0.74741683
  1.54   1.00    0.03   -0.75402290
  1.55   1.00    0.02   -0.76055357
  1.56   1.00    0.01   -0.76700819
  1.57   1.00    0.00   -0.77338611
  1.58   1.00   -0.01   -0.77968669
  1.59   1.00   -0.02   -0.78590930
  1.60   1.00   -0.03   -0.79205332
  1.61   1.00   -0.04   -0.79811813
  1.62   1.00   -0.05   -0.80410313
  1.63   1.00   -0.06   -0.81000773
  1.64   1.00   -0.07   -0.81583132
  1.65   1.00   -0.08   -0.82157333
  1.66   1.00   -0.09   -0.82723319
  1.67   1.00   -0.10   -0.83281032
  1.68   0.99   -0.11   -0.83830417
  1.69   0.99   -0.12   -0.84371420
  1.70   0.99   -0.13   -0.84903985
  1.71   0.99   -0.14   -0.85428060
  1.72   0.99   -0.15   -0.85943592
  1.73   0.99   -0.16   -0.86450530
  1.74   0.99   -0.17   -0.86948822
  1.75   0.98   -0.18   -0.87438420
  1.76   0.98   -0.19   -0.87919275
  1.77   0.98   -0.20   -0.88391337
  1.78   0.98   -0.21   -0.88854561
  1.79   0.98   -0.22   -0.89308898
  1.80   0.97   -0.23   -0.89754306
  1.81   0.97   -0.24   -0.90190737
  1.82   0.97   -0.25   -0.90618150
  1.83   0.97   -0.26   -0.91036501
  1.84   0.96   -0.27   -0.91445749
  1.85   0.96   -0.28   -0.91845852
  1.86   0.96   -0.29   -0.92236770
  1.87   0.96   -0.29   -0.92618465
  1.88   0.95   -0.30   -0.92990898
  1.89   0.95   -0.31   -0.93354032
  1.90   0.95   -0.32   -0.93707831
  1.91   0.94   -0.33   -0.94052259
  1.92   0.94   -0.34   -0.94387282
  1.93   0.94   -0.35   -0.94712866
  1.94   0.93   -0.36   -0.95028979
  1.95   0.93   -0.37   -0.95335590
  1.96   0.93   -0.38   -0.95632666
  1.97   0.92   -0.39   -0.95920180
  1.98   0.92   -0.40   -0.96198102
  1.99   0.91   -0.41   -0.96466403
  2.00   0.91   -0.42   -0.96725059
  2.01   0.91   -0.43   -0.96974042
  2.02   0.90   -0.43   -0.97213327
  2.03   0.90   -0.44   -0.97442892
  2.04   0.89   -0.45   -0.97662712
  2.05   0.89   -0.46   -0.97872766
  2.06   0.88   -0.47   -0.98073033
  2.07   0.88   -0.48   -0.98263492
  2.08   0.87   -0.49   -0.98444125
  2.09   0.87   -0.50   -0.98614914
  2.10   0.86   -0.50   -0.98775842
  2.11   0.86   -0.51   -0.98926892
  2.12   0.85   -0.52   -0.99068049
  2.13   0.85   -0.53   -0.99199300
  2.14   0.84   -0.54   -0.99320631
  2.15   0.84   -0.55   -0.99432030
  2.16   0.83   -0.56   -0.99533485
  2.17   0.83   -0.56   -0.99624988
  2.18   0.82   -0.57   -0.99706528
  2.19   0.81   -0.58   -0.99778097
  2.20   0.81   -0.59   -0.99839689
  2.21   0.80   -0.60   -0.99891297
  2.22   0.80   -0.60   -0.99932916
  2.23   0.79   -0.61   -0.99964542
  2.24   0.78   -0.62   -0.99986171
  2.25   0.78   -0.63   -0.99997801
  2.26   0.77   -0.64   -0.99999433
  2.27   0.77   -0.64   -0.99991064
  2.28   0.76   -0.65   -0.99972696
  2.29   0.75   -0.66   -0.99944331
  2.30   0.75   -0.67   -0.99905971
  2.31   0.74   -0.67   -0.99857621
  2.32   0.73   -0.68   -0.99799286
  2.33   0.73   -0.69   -0.99730970
  2.34   0.72   -0.70   -0.99652682
  2.35   0.71   -0.70   -0.99564428
  2.36   0.70   -0.71   -0.99466218
  2.37   0.70   -0.72   -0.99358062
  2.38   0.69   -0.72   -0.99239970
  2.39   0.68   -0.73   -0.99111953
  2.40   0.68   -0.74   -0.98974026
  2.41   0.67   -0.74   -0.98826202
  2.42   0.66   -0.75   -0.98668494
  2.43   0.65   -0.76   -0.98500921
  2.44   0.65   -0.76   -0.98323497
  2.45   0.64   -0.77   -0.98136240
  2.46   0.63   -0.78   -0.97939171
  2.47   0.62   -0.78   -0.97732307
  2.48   0.61   -0.79   -0.97515670
  2.49   0.61   -0.80   -0.97289282
  2.50   0.60   -0.80   -0.97053165
  2.51   0.59   -0.81   -0.96807343
  2.52   0.58   -0.81   -0.96551840
  2.53   0.57   -0.82   -0.96286682
  2.54   0.57   -0.82   -0.96011895
  2.55   0.56   -0.83   -0.95727508
  2.56   0.55   -0.84   -0.95433547
  2.57   0.54   -0.84   -0.95130043
  2.58   0.53   -0.85   -0.94817027
  2.59   0.52   -0.85   -0.94494529
  2.60   0.52   -0.86   -0.94162581
  2.61   0.51   -0.86   -0.93821217
  2.62   0.50   -0.87   -0.93470471
  2.63   0.49   -0.87   -0.93110379
  2.64   0.48   -0.88   -0.92740975
  2.65   0.47   -0.88   -0.92362297
  2.66   0.46   -0.89   -0.91974383
  2.67   0.45   -0.89   -0.91577272
  2.68   0.45   -0.90   -0.91171003
  2.69   0.44   -0.90   -0.90755617
  2.70   0.43   -0.90   -0.90331156
  2.71   0.42   -0.91   -0.89897661
  2.72   0.41   -0.91   -0.89455177
  2.73   0.40   -0.92   -0.89003747
  2.74   0.39   -0.92   -0.88543417
  2.75   0.38   -0.92   -0.88074233
  2.76   0.37   -0.93   -0.87596242
  2.77   0.36   -0.93   -0.87109490
  2.78   0.35   -0.94   -0.86614028
  2.79   0.34   -0.94   -0.86109905
  2.80   0.33   -0.94   -0.85597171
  2.81   0.33   -0.95   -0.85075877
  2.82   0.32   -0.95   -0.84546076
  2.83   0.31   -0.95   -0.84007820
  2.84   0.30   -0.95   -0.83461163
  2.85   0.29   -0.96   -0.82906160
  2.86   0.28   -0.96   -0.82342867
  2.87   0.27   -0.96   -0.81771340
  2.88   0.26   -0.97   -0.81191635
  2.89   0.25   -0.97   -0.80603812
  2.90   0.24   -0.97   -0.80007928
  2.91   0.23   -0.97   -0.79404043
  2.92   0.22   -0.98   -0.78792218
  2.93   0.21   -0.98   -0.78172514
  2.94   0.20   -0.98   -0.77544993
  2.95   0.19   -0.98   -0.76909717
  2.96   0.18   -0.98   -0.76266750
  2.97   0.17   -0.99   -0.75616157
  2.98   0.16   -0.99   -0.74958002
  2.99   0.15   -0.99   -0.74292352
  3.00   0.14   -0.99   -0.73619272
  3.01   0.13   -0.99   -0.72938830
  3.02   0.12   -0.99   -0.72251095
  3.03   0.11   -0.99   -0.71556134
  3.04   0.10   -0.99   -0.70854018
  3.05   0.09   -1.00   -0.70144817
  3.06   0.08   -1.00   -0.69428601
  3.07   0.07   -1.00   -0.68705442
  3.08   0.06   -1.00   -0.67975413
  3.09   0.05   -1.00   -0.67238587
  3.10   0.04   -1.00   -0.66495036
  3.11   0.03   -1.00   -0.65744837
  3.12   0.02   -1.00   -0.64988062
  3.13   0.01   -1.00   -0.64224789
  3.14   0.00   -1.00   -0.63455094
  3.15  -0.01   -1.00   -0.62679053
  3.16  -0.02   -1.00   -0.61896744
  3.17  -0.03   -1.00   -0.61108246
  3.18  -0.04   -1.00   -0.60313637
  3.19  -0.05   -1.00   -0.59512996
  3.20  -0.06   -1.00   -0.58706405
  3.21  -0.07   -1.00   -0.57893942
  3.22  -0.08   -1.00   -0.57075691
  3.23  -0.09   -1.00   -0.56251732
  3.24  -0.10   -1.00   -0.55422147
  3.25  -0.11   -0.99   -0.54587021
  3.26  -0.12   -0.99   -0.53746436
  3.27  -0.13   -0.99   -0.52900476
  3.28  -0.14   -0.99   -0.52049226
  3.29  -0.15   -0.99   -0.51192772
  3.30  -0.16   -0.99   -0.50331198
  3.31  -0.17   -0.99   -0.49464591
  3.32  -0.18   -0.98   -0.48593038
  3.33  -0.19   -0.98   -0.47716625
  3.34  -0.20   -0.98   -0.46835441
  3.35  -0.21   -0.98   -0.45949573
  3.36  -0.22   -0.98   -0.45059110
  3.37  -0.23   -0.97   -0.44164142
  3.38  -0.24   -0.97   -0.43264757
  3.39  -0.25   -0.97   -0.42361046
  3.40  -0.26   -0.97   -0.41453098
  3.41  -0.27   -0.96   -0.40541006
  3.42  -0.27   -0.96   -0.39624859
  3.43  -0.28   -0.96   -0.38704750
  3.44  -0.29   -0.96   -0.37780770
  3.45  -0.30   -0.95   -0.36853012
  3.46  -0.31   -0.95   -0.35921569
  3.47  -0.32   -0.95   -0.34986534
  3.48  -0.33   -0.94   -0.34048001
  3.49  -0.34   -0.94   -0.33106062
  3.50  -0.35   -0.94   -0.32160813
  3.51  -0.36   -0.93   -0.31212348
  3.52  -0.37   -0.93   -0.30260762
  3.53  -0.38   -0.93   -0.29306149
  3.54  -0.39   -0.92   -0.28348606
  3.55  -0.40   -0.92   -0.27388229
  3.56  -0.41   -0.91   -0.26425112
  3.57  -0.42   -0.91   -0.25459353
  3.58  -0.42   -0.91   -0.24491048
  3.59  -0.43   -0.90   -0.23520294
  3.60  -0.44   -0.90   -0.22547188
  3.61  -0.45   -0.89   -0.21571827
  3.62  -0.46   -0.89   -0.20594309
  3.63  -0.47   -0.88   -0.19614732
  3.64  -0.48   -0.88   -0.18633193
  3.65  -0.49   -0.87   -0.17649791
  3.66  -0.50   -0.87   -0.16664624
  3.67  -0.50   -0.86   -0.15677790
  3.68  -0.51   -0.86   -0.14689389
  3.69  -0.52   -0.85   -0.13699519
  3.70  -0.53   -0.85   -0.12708278
  3.71  -0.54   -0.84   -0.11715767
  3.72  -0.55   -0.84   -0.10722085
  3.73  -0.56   -0.83   -0.09727330
  3.74  -0.56   -0.83   -0.08731603
  3.75  -0.57   -0.82   -0.07735002
  3.76  -0.58   -0.81   -0.06737628
  3.77  -0.59   -0.81   -0.05739580
  3.78  -0.60   -0.80   -0.04740958
  3.79  -0.60   -0.80   -0.03741862
  3.80  -0.61   -0.79   -0.02742392
  3.81  -0.62   -0.78   -0.01742648
  3.82  -0.63   -0.78   -0.00742729
  3.83  -0.64   -0.77    0.00257264
  3.84  -0.64   -0.77    0.01257231
  3.85  -0.65   -0.76    0.02257072
  3.86  -0.66   -0.75    0.03256688
  3.87  -0.67   -0.75    0.04255978
  3.88  -0.67   -0.74    0.05254843
  3.89  -0.68   -0.73    0.06253182
  3.90  -0.69   -0.73    0.07250895
  3.91  -0.69   -0.72    0.08247884
  3.92  -0.70   -0.71    0.09244048
  3.93  -0.71   -0.70    0.10239287
  3.94  -0.72   -0.70    0.11233503
  3.95  -0.72   -0.69    0.12226595
  3.96  -0.73   -0.68    0.13218464
  3.97  -0.74   -0.68    0.14209012
  3.98  -0.74   -0.67    0.15198139
  3.99  -0.75   -0.66    0.16185746
  4.00  -0.76   -0.65    0.17171734
  4.01  -0.76   -0.65    0.18156005
  4.02  -0.77   -0.64    0.19138461
  4.03  -0.78   -0.63    0.20119003
  4.04  -0.78   -0.62    0.21097533
  4.05  -0.79   -0.62    0.22073953
  4.06  -0.79   -0.61    0.23048166
  4.07  -0.80   -0.60    0.24020074
  4.08  -0.81   -0.59    0.24989580
  4.09  -0.81   -0.58    0.25956587
  4.10  -0.82   -0.57    0.26920999
  4.11  -0.82   -0.57    0.27882718
  4.12  -0.83   -0.56    0.28841649
  4.13  -0.84   -0.55    0.29797696
  4.14  -0.84   -0.54    0.30750764
  4.15  -0.85   -0.53    0.31700756
  4.16  -0.85   -0.52    0.32647578
  4.17  -0.86   -0.52    0.33591135
  4.18  -0.86   -0.51    0.34531334
  4.19  -0.87   -0.50    0.35468079
  4.20  -0.87   -0.49    0.36401278
  4.21  -0.88   -0.48    0.37330836
  4.22  -0.88   -0.47    0.38256661
  4.23  -0.89   -0.46    0.39178661
  4.24  -0.89   -0.46    0.40096743
  4.25  -0.89   -0.45    0.41010815
  4.26  -0.90   -0.44    0.41920786
  4.27  -0.90   -0.43    0.42826565
  4.28  -0.91   -0.42    0.43728062
  4.29  -0.91   -0.41    0.44625186
  4.30  -0.92   -0.40    0.45517847
  4.31  -0.92   -0.39    0.46405956
  4.32  -0.92   -0.38    0.47289425
  4.33  -0.93   -0.37    0.48168165
  4.34  -0.93   -0.36    0.49042089
  4.35  -0.94   -0.35    0.49911108
  4.36  -0.94   -0.35    0.50775136
  4.37  -0.94   -0.34    0.51634086
  4.38  -0.95   -0.33    0.52487874
  4.39  -0.95   -0.32    0.53336412
  4.40  -0.95   -0.31    0.54179617
  4.41  -0.95   -0.30    0.55017404
  4.42  -0.96   -0.29    0.55849689
  4.43  -0.96   -0.28    0.56676389
  4.44  -0.96   -0.27    0.57497422
  4.45  -0.97   -0.26    0.58312705
  4.46  -0.97   -0.25    0.59122157
  4.47  -0.97   -0.24    0.59925697
  4.48  -0.97   -0.23    0.60723244
  4.49  -0.98   -0.22    0.61514719
  4.50  -0.98   -0.21    0.62300042
  4.51  -0.98   -0.20    0.63079136
  4.52  -0.98   -0.19    0.63851921
  4.53  -0.98   -0.18    0.64618322
  4.54  -0.99   -0.17    0.65378260
  4.55  -0.99   -0.16    0.66131661
  4.56  -0.99   -0.15    0.66878449
  4.57  -0.99   -0.14    0.67618549
  4.58  -0.99   -0.13    0.68351887
  4.59  -0.99   -0.12    0.69078391
  4.60  -0.99   -0.11    0.69797986
  4.61  -0.99   -0.10    0.70510601
  4.62  -1.00   -0.09    0.71216166
  4.63  -1.00   -0.08    0.71914609
  4.64  -1.00   -0.07    0.72605861
  4.65  -1.00   -0.06    0.73289852
  4.66  -1.00   -0.05    0.73966514
  4.67  -1.00   -0.04    0.74635780
  4.68  -1.00   -0.03    0.75297582
  4.69  -1.00   -0.02    0.75951854
  4.70  -1.00   -0.01    0.76598531
  4.71  -1.00   -0.00    0.77237549
  4.72  -1.00    0.01    0.77868843
  4.73  -1.00    0.02    0.78492349
  4.74  -1.00    0.03    0.79108007
  4.75  -1.00    0.04    0.79715754
  4.76  -1.00    0.05    0.80315530
  4.77  -1.00    0.06    0.80907274
  4.78  -1.00    0.07    0.81490927
  4.79  -1.00    0.08    0.82066432
  4.80  -1.00    0.09    0.82633729
  4.81  -1.00    0.10    0.83192764
  4.82  -0.99    0.11    0.83743479
  4.83  -0.99    0.12    0.84285820
  4.84  -0.99    0.13    0.84819733
  4.85  -0.99    0.14    0.85345163
  4.86  -0.99    0.15    0.85862059
  4.87  -0.99    0.16    0.86370369
  4.88  -0.99    0.17    0.86870043
  4.89  -0.98    0.18    0.87361029
  4.90  -0.98    0.19    0.87843279
  4.91  -0.98    0.20    0.88316745
  4.92  -0.98    0.21    0.88781379
  4.93  -0.98    0.22    0.89237135
  4.94  -0.97    0.23    0.89683967
  4.95  -0.97    0.24    0.90121832
  4.96  -0.97    0.25    0.90550684
  4.97  -0.97    0.25    0.90970481
  4.98  -0.96    0.26    0.91381181
  4.99  -0.96    0.27    0.91782743
  5.00  -0.96    0.28    0.92175127
  5.01  -0.96    0.29    0.92558293
  5.02  -0.95    0.30    0.92932204
  5.03  -0.95    0.31    0.93296822
  5.04  -0.95    0.32    0.93652110
  5.05  -0.94    0.33    0.93998032
  5.06  -0.94    0.34    0.94334556
  5.07  -0.94    0.35    0.94661645
  5.08  -0.93    0.36    0.94979269
  5.09  -0.93    0.37    0.95287395
  5.10  -0.93    0.38    0.95585992
  5.11  -0.92    0.39    0.95875030
  5.12  -0.92    0.40    0.96154482
  5.13  -0.91    0.41    0.96424317
  5.14  -0.91    0.41    0.96684511
  5.15  -0.91    0.42    0.96935036
  5.16  -0.90    0.43    0.97175868
  5.17  -0.90    0.44    0.97406982
  5.18  -0.89    0.45    0.97628355
  5.19  -0.89    0.46    0.97839966
  5.20  -0.88    0.47    0.98041793
  5.21  -0.88    0.48    0.98233816
  5.22  -0.87    0.49    0.98416015
  5.23  -0.87    0.49    0.98588373
  5.24  -0.86    0.50    0.98750872
  5.25  -0.86    0.51    0.98903497
  5.26  -0.85    0.52    0.99046231
  5.27  -0.85    0.53    0.99179060
  5.28  -0.84    0.54    0.99301972
  5.29  -0.84    0.55    0.99414953
  5.30  -0.83    0.55    0.99517993
  5.31  -0.83    0.56    0.99611081
  5.32  -0.82    0.57    0.99694209
  5.33  -0.82    0.58    0.99767367
  5.34  -0.81    0.59    0.99830548
  5.35  -0.80    0.60    0.99883746
  5.36  -0.80    0.60    0.99926956
  5.37  -0.79    0.61    0.99960174
  5.38  -0.79    0.62    0.99983395
  5.39  -0.78    0.63    0.99996619
  5.40  -0.77    0.63    0.99999842
  5.41  -0.77    0.64    0.99993066
  5.42  -0.76    0.65    0.99976291
  5.43  -0.75    0.66    0.99949518
  5.44  -0.75    0.67    0.99912750
  5.45  -0.74    0.67    0.99865991
  5.46  -0.73    0.68    0.99809245
  5.47  -0.73    0.69    0.99742519
  5.48  -0.72    0.69    0.99665818
  5.49  -0.71    0.70    0.99579151
  5.50  -0.71    0.71    0.99482526
  5.51  -0.70    0.72    0.99375953
  5.52  -0.69    0.72    0.99259442
  5.53  -0.68    0.73    0.99133006
  5.54  -0.68    0.74    0.98996656
  5.55  -0.67    0.74    0.98850407
  5.56  -0.66    0.75    0.98694273
  5.57  -0.65    0.76    0.98528269
  5.58  -0.65    0.76    0.98352413
  5.59  -0.64    0.77    0.98166721
  5.60  -0.63    0.78    0.97971213
  5.61  -0.62    0.78    0.97765908
  5.62  -0.62    0.79    0.97550827
  5.63  -0.61    0.79    0.97325990
  5.64  -0.60    0.80    0.97091421
  5.65  -0.59    0.81    0.96847143
  5.66  -0.58    0.81    0.96593180
  5.67  -0.58    0.82    0.96329558
  5.68  -0.57    0.82    0.96056303
  5.69  -0.56    0.83    0.95773442
  5.70  -0.55    0.83    0.95481005
  5.71  -0.54    0.84    0.95179019
  5.72  -0.53    0.85    0.94867515
  5.73  -0.53    0.85    0.94546525
  5.74  -0.52    0.86    0.94216080
  5.75  -0.51    0.86    0.93876214
  5.76  -0.50    0.87    0.93526960
  5.77  -0.49    0.87    0.93168353
  5.78  -0.48    0.88    0.92800430
  5.79  -0.47    0.88    0.92423227
  5.80  -0.46    0.89    0.92036781
  5.81  -0.46    0.89    0.91641132
  5.82  -0.45    0.89    0.91236319
  5.83  -0.44    0.90    0.90822382
  5.84  -0.43    0.90    0.90399363
  5.85  -0.42    0.91    0.89967305
  5.86  -0.41    0.91    0.89526249
  5.87  -0.40    0.92    0.89076241
  5.88  -0.39    0.92    0.88617326
  5.89  -0.38    0.92    0.88149549
  5.90  -0.37    0.93    0.87672957
  5.91  -0.36    0.93    0.87187598
  5.92  -0.36    0.93    0.86693520
  5.93  -0.35    0.94    0.86190772
  5.94  -0.34    0.94    0.85679406
  5.95  -0.33    0.95    0.85159472
  5.96  -0.32    0.95    0.84631022
  5.97  -0.31    0.95    0.84094109
  5.98  -0.30    0.95    0.83548787
  5.99  -0.29    0.96    0.82995110
  6.00  -0.28    0.96    0.82433133
  6.01  -0.27    0.96    0.81862913
  6.02  -0.26    0.97    0.81284507
  6.03  -0.25    0.97    0.80697973
  6.04  -0.24    0.97    0.80103369
  6.05  -0.23    0.97    0.79500754
  6.06  -0.22    0.98    0.78890190
  6.07  -0.21    0.98    0.78271736
  6.08  -0.20    0.98    0.77645456
  6.09  -0.19    0.98    0.77011411
  6.10  -0.18    0.98    0.76369665
  6.11  -0.17    0.99    0.75720282
  6.12  -0.16    0.99    0.75063327
  6.13  -0.15    0.99    0.74398866
  6.14  -0.14    0.99    0.73726965
  6.15  -0.13    0.99    0.73047691
  6.16  -0.12    0.99    0.72361113
  6.17  -0.11    0.99    0.71667298
  6.18  -0.10    0.99    0.70966317
  6.19  -0.09    1.00    0.70258240
  6.20  -0.08    1.00    0.69543136
  6.21  -0.07    1.00    0.68821078
  6.22  -0.06    1.00    0.68092139
  6.23  -0.05    1.00    0.67356390
  6.24  -0.04    1.00    0.66613905
  6.25  -0.03    1.00    0.65864760
  6.26  -0.02    1.00    0.65109027
  6.27  -0.01    1.00    0.64346784
  6.28  -0.00    1.00    0.63578107
  6.29   0.01    1.00    0.62803071
  6.30   0.02    1.00    0.62021755
  6.31   0.03    1.00    0.61234238
  6.32   0.04    1.00    0.60440596
  6.33   0.05    1.00    0.59640911
  6.34   0.06    1.00    0.58835262
  6.35   0.07    1.00    0.58023729
  6.36   0.08    1.00    0.57206394
  6.37   0.09    1.00    0.56383338
  6.38   0.10    1.00    0.55554644
  6.39   0.11    0.99    0.54720395
  6.40   0.12    0.99    0.53880674
  6.41   0.13    0.99    0.53035564
  6.42   0.14    0.99    0.52185152
  6.43   0.15    0.99    0.51329520
  6.44   0.16    0.99    0.50468756
  6.45   0.17    0.99    0.49602945
  6.46   0.18    0.98    0.48732173
  6.47   0.19    0.98    0.47856529
  6.48   0.20    0.98    0.46976099
  6.49   0.21    0.98    0.46090971
  6.50   0.22    0.98    0.45201234
  6.51   0.22    0.97    0.44306977
  6.52   0.23    0.97    0.43408290
  6.53   0.24    0.97    0.42505262
  6.54   0.25    0.97    0.41597983
  6.55   0.26    0.96    0.40686544
  6.56   0.27    0.96    0.39771037
  6.57   0.28    0.96    0.38851553
  6.58   0.29    0.96    0.37928183
  6.59   0.30    0.95    0.37001021
  6.60   0.31    0.95    0.36070159
  6.61   0.32    0.95    0.35135690
  6.62   0.33    0.94    0.34197707
  6.63   0.34    0.94    0.33256304
  6.64   0.35    0.94    0.32311576
  6.65   0.36    0.93    0.31363617
  6.66   0.37    0.93    0.30412522
  6.67   0.38    0.93    0.29458385
  6.68   0.39    0.92    0.28501302
  6.69   0.40    0.92    0.27541369
  6.70   0.40    0.91    0.26578683
  6.71   0.41    0.91    0.25613338
  6.72   0.42    0.91    0.24645432
  6.73   0.43    0.90    0.23675061
  6.74   0.44    0.90    0.22702323
  6.75   0.45    0.89    0.21727315
  6.76   0.46    0.89    0.20750134
  6.77   0.47    0.88    0.19770878
  6.78   0.48    0.88    0.18789645
  6.79   0.49    0.87    0.17806533
  6.80   0.49    0.87    0.16821641
  6.81   0.50    0.86    0.15835066
